Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PB11","OffPage","camera","1","SCHEMATIC1","CAMERA1.3","550","180","3C","[3,6]"
"PD7","OffPage","stm32_core","6","SCHEMATIC1","U8A.88","450","330","3C","[2,3]"
"PD7","OffPage","main","3","SCHEMATIC1","J2.22","210","350","4B","[2,6]"
"PD7","OffPage","lcd","2","SCHEMATIC1","LCD1.17","690","270","2C","[3,6]"
"PB2","OffPage","stm32_core","6","SCHEMATIC1","U8A.36","450","100","3D","[3,8]"
"PB2","OffPage","store","8","SCHEMATIC1","U7.6","340","260","4C","[3,6]"
"PB2","OffPage","main","3","SCHEMATIC1","J3.23","560","360","3B","[6,8]"
"PD6","OffPage","stm32_core","6","SCHEMATIC1","U8A.87","450","320","3C","[3]"
"PD6","OffPage","main","3","SCHEMATIC1","J2.19","320","340","4C","[6]"
"PE11","OffPage","stm32_core","6","SCHEMATIC1","U8A.41","180","560","5A","[3]"
"PE11","OffPage","main","3","SCHEMATIC1","J3.20","450","340","3C","[6]"
"PE4","OffPage","stm32_core","6","SCHEMATIC1","U8A.3","180","480","5B","[1,3]"
"PE4","OffPage","main","3","SCHEMATIC1","J2.34","210","410","4B","[1,6]"
"PE4","OffPage","camera","1","SCHEMATIC1","CAMERA1.18","550","330","3C","[3,6]"
"PE6","OffPage","stm32_core","6","SCHEMATIC1","U8A.5","180","500","5B","[1,3]"
"PE6","OffPage","main","3","SCHEMATIC1","J2.36","210","420","4B","[1,6]"
"PE6","OffPage","camera","1","SCHEMATIC1","CAMERA1.12","550","270","3C","[3,6]"
"PE10","OffPage","stm32_core","6","SCHEMATIC1","U8A.40","180","550","5A","[2,3]"
"PE10","OffPage","lcd","2","SCHEMATIC1","LCD1.9","690","190","2C","[3,6]"
"PE10","OffPage","main","3","SCHEMATIC1","J3.19","560","340","3C","[2,6]"
"PE0","OffPage","stm32_core","6","SCHEMATIC1","U8A.97","180","440","5B","[1,3]"
"PE0","OffPage","main","3","SCHEMATIC1","J2.30","210","390","4B","[1,6]"
"PE0","OffPage","camera","1","SCHEMATIC1","CAMERA1.22","550","370","3B","[3,6]"
"PE3","OffPage","stm32_core","6","SCHEMATIC1","U8A.2","180","470","5B","[2,3]"
"PE3","OffPage","main","3","SCHEMATIC1","J2.31","320","400","4B","[2,6]"
"PE3","OffPage","lcd","2","SCHEMATIC1","LCD1.18","690","280","2C","[3,6]"
"PE15","OffPage","stm32_core","6","SCHEMATIC1","U8A.45","180","600","5A","[3]"
"PE15","OffPage","main","3","SCHEMATIC1","J3.16","450","320","3C","[6]"
"PE9","OffPage","stm32_core","6","SCHEMATIC1","U8A.39","180","540","5A","[2,3]"
"PE9","OffPage","lcd","2","SCHEMATIC1","LCD1.10","690","200","2C","[3,6]"
"PE9","OffPage","main","3","SCHEMATIC1","J3.22","450","350","3B","[2,6]"
"PE2","OffPage","stm32_core","6","SCHEMATIC1","U8A.1","180","460","5B","[3,8]"
"PE2","OffPage","main","3","SCHEMATIC1","J2.32","210","400","4B","[6,8]"
"PE2","OffPage","store","8","SCHEMATIC1","U7.3","180","260","5C","[3,6]"
"PE5","OffPage","stm32_core","6","SCHEMATIC1","U8A.4","180","490","5B","[1,3]"
"PE5","OffPage","main","3","SCHEMATIC1","J2.33","320","410","4B","[1,6]"
"PE5","OffPage","camera","1","SCHEMATIC1","CAMERA1.14","550","290","3C","[3,6]"
"PE12","OffPage","stm32_core","6","SCHEMATIC1","U8A.42","180","570","5A","[3]"
"PE12","OffPage","main","3","SCHEMATIC1","J3.17","560","330","3C","[6]"
"PE14","OffPage","stm32_core","6","SCHEMATIC1","U8A.44","180","590","5A","[3]"
"PE14","OffPage","main","3","SCHEMATIC1","J3.15","560","320","3C","[6]"
"PE13","OffPage","stm32_core","6","SCHEMATIC1","U8A.43","180","580","5A","[3]"
"PE13","OffPage","main","3","SCHEMATIC1","J3.18","450","330","3C","[6]"
